month,total_m2,month_label
1,1159686695.3307,Jan
2,1028418576.31315,Feb
3,1311993047.8328,Mar
4,1902996082.09277,Apr
5,1990834181.56558,May
6,2357092410.74657,Jun
7,2569047938.91518,Jul
8,2791310231.8987,Aug
9,2236051426.73274,Sep
10,1624476452.03765,Oct
11,1728589467.81871,Nov
12,1306435322.84998,Dec
