month,total_m2
1,21520220754.2823
2,27588813384.2094
3,30079975957.0175
4,38100243719.1493
5,44590208664.5141
6,50502914288.2702
7,52885327235.4395
8,55455725497.9401
9,40480448436.932
10,30652908697.2134
11,25968407349.1407
12,22647179967.7125
