mun_exp,month,mean_pct,cv_scaled,normalized_intensity
110001,1,0.476602477652861,0.0111329673953431,0.175945526885665
110001,3,0.0527279955128133,0.0091724942798953,0.0194653938809025
110001,4,0.402560126379877,0.00893556208462411,0.148611593225196
110001,5,0.192655403514714,0.00752073479589106,0.0711218637504776
110001,6,0.0551141979686136,0.00880407964917569,0.0203462991804495
110001,7,0.402222899504591,0.00686159116918641,0.148487100460189
110001,8,0.263757762303779,0.0133423290189518,0.0973704515496112
110001,9,0.169303861895537,0.00330711726483056,0.0625012638030911
110001,10,0.284004239516254,0.0125848137813436,0.104844766660751
110001,11,0.296496574434999,0,0.109456514505906
110001,12,0.113361477265681,0.00894194418286623,0.0418492260977611
110002,1,0.188425686785017,0.0171805998958883,0.113096030150987
110002,2,0.0984307730267283,0.010462183640311,0.0590796820961938
110002,3,0.172957287702415,0.00393486328948463,0.10381165624803
110002,4,0.0543774264642889,0.0123068872111405,0.0326381777764458
110002,5,0.270614107689549,0.00634500416205764,0.162426799682883
110002,6,0.319867202683106,0.0110681130768554,0.191989273947743
110002,7,0.0834654140264669,0.0115208078017479,0.0500972406807356
110002,8,0.0466201204566741,0.0117455638734075,0.027982121964222
110002,9,0.0444229273003346,0.0138093997891281,0.0266633324313468
110002,10,0.147165806653659,0.0186087532455735,0.0883312078649138
110002,11,0.0688075197819423,0.00995464323748014,0.0412993443975174
110002,12,0.170913816057359,0.0112272597066589,0.102585132758982
110003,1,1,0,0.340088246651678
110003,3,0.0377705886387834,0,0.0128453332651656
110003,5,0.0812541739866325,0,0.0276335895642442
110003,6,0.66672352319322,0,0.226744834004211
110003,8,0.529793355334313,0.0057541584146248,0.180176493303356
110003,11,0.624871648178426,0,0.212511503211345
110004,1,0.139401573074133,0,0.0646468657716341
110004,2,0.241944042697702,0,0.112200484597165
110004,3,0.23760240144743,0.00512807495658439,0.110187067582239
110004,4,0.0446684945243946,0.00602599763048623,0.0207148176742874
110004,5,0.0978976311421768,0,0.0453995954295556
110004,6,0.198002873172712,0.00404358997707809,0.0918229606891673
110004,7,0.339414007538651,0.00810660853126829,0.157401751662408
110004,8,0.166784667716164,0.00703793967809648,0.0773456553526808
110004,9,0.129748254326049,0.00717702816962568,0.0601701817027514
110004,10,0.0925446717857259,0.00709185240577349,0.0429171840954061
110004,11,0.212185700173799,0.00327515255751233,0.0984001842683733
110004,12,0.256160385915548,0.00925397865511739,0.118793251174332
110005,2,1,0,0.307692434545791
110005,4,0.777764348933738,0,0.239312206026344
110005,8,0.750001339889368,0.0047140115210422,0.230769738183165
110005,11,0.499997320221264,0,0.153845392725252
110005,12,0.222235651066262,0,0.0683802285194473
110006,3,0.646232148210731,0.00774185090167992,0.256324862177037
110006,4,0.504854604432896,0.00875090185667124,0.200248141877501
110006,5,0.0565739814553315,0,0.0224397966574317
110006,6,0.339560451206363,0,0.134685013887395
110006,7,0.425763929385761,0.0138288336512859,0.168877207396639
110006,8,0.103831953679959,0,0.0411844432225757
110006,10,0.0471782458482485,0,0.0187130234827984
110006,11,0.397149699659214,0.00851930413629041,0.157527511298623
110007,1,0.0139838614050395,0,0.00588290374152809
110007,3,0.321605041288172,0,0.135296785765243
110007,4,0.173570298176951,0.00861184111103257,0.0730196994226036
110007,5,0.512936167787989,0.0121167080277164,0.21578833007867
110007,6,0.127599124609833,0.00561850892212566,0.0536799776428259
110007,7,0.0982219901685209,0.0130113115994431,0.0413212414458347
110007,8,0.0527673377495239,0.00595569372863612,0.0221988161699943
110007,9,0.539070439229694,0.0080171482005922,0.226782818567459
110007,10,0.0801675247435353,0.00806055213754506,0.0337258656677495
110007,11,0.282108888175185,0,0.11868105566078
110007,12,0.17500318943741,0.00815816446239148,0.0736225058373123
110008,1,0.0990014153295621,0.00591423457737832,0.0847572939797414
110008,2,0.157189408881777,0.00754746923222431,0.134573317914135
110008,3,0.15761387719165,0.00990475345307069,0.134936714590893
110008,4,0.080019673485438,0.00935451194276132,0.068506606367101
110008,5,0.0939787241394968,0.00860230014466539,0.0804572573353288
110008,6,0.0649573369654048,0.0036327403660142,0.0556114080489711
110008,7,0.198033794969331,0.0165633059547376,0.169541097188006
110008,8,0.0663954745255397,0.01441782641892,0.0568426293154741
110008,9,0.0884454850929668,0.00593461885998372,0.0757201294168465
110008,10,0.050835514318087,0.0120971708491121,0.0435214043892852
110008,11,0.073802616051118,0.00759982728046475,0.0631840464532302
110008,12,0.0377844435321215,0.00663732488174691,0.0323480950009881
110009,1,0.0927351071427567,0,0.0509266596459028
110009,3,0.0577102588400932,0,0.0316923202072985
110009,4,0.10868974642356,0.00364575053455671,0.059688352056263
110009,5,0.399819556983918,0.0064890067872319,0.219565978038405
110009,6,0.0971659853898075,0.00517777085055991,0.0533599326033883
110009,7,0.220888239116317,0.011331012719115,0.121303576604948
110009,8,0.133215210072023,0.0142609158356606,0.0731568213163516
110009,9,0.103079421986518,0.000104550060081978,0.0566073712722702
110009,10,0.445679105713083,0.00814184654978141,0.244750330562521
110009,11,0.039021467515711,0.00253430012114082,0.0214291335426735
110009,12,0.122949950965023,0.0101745636762265,0.0675195241499782
110010,4,0.244502386611784,0.0147173391206223,0.0835943752296441
110010,5,0.834886218401297,0,0.285444215012554
110010,6,0.0853062198623407,0.0135194688807783,0.0291658508999247
110010,7,0.218184566690279,0.0113929537745009,0.0745964192414369
110010,8,0.175401457036567,0.0108211981442779,0.0599690474131117
110010,9,0.330085280749574,0.0118691185037491,0.112854819943228
110010,10,0.0275781045621441,0,0.00942884220001771
110010,11,0.827146844129713,0,0.28279815430997
110010,12,0.181775408967007,0,0.0621482757501135
110011,1,0.619419797077102,0,0.219678507470898
110011,2,0.218230897021922,0.0132991559851631,0.0773960373369272
110011,4,0.124314401614345,0.00555841000863173,0.0440883587070401
110011,5,0.157993507881953,0,0.0560327231473338
110011,6,0.15476264733149,0.0147314036191895,0.0548868917952825
110011,7,0.519501170767994,0.0130803932549321,0.184242160748201
110011,8,0.232664458698743,0.00942326071051859,0.0825149297288317
110011,9,0.122938918328818,0.0112549485618055,0.0436005407253715
110011,10,0.102762410390197,0.00295084140430008,0.0364449006072379
110011,11,0.300575775603946,0.0121281442925187,0.106599818214017
110011,12,0.266501007586657,0.0122465020461673,0.0945151315188594
110012,1,0.00244477965735591,0,0.00116709889648838
110012,2,0.208548815806929,0.01315646610831,0.0995578853333005
110012,3,0.0898642742811953,0.000721893515490871,0.0428997742319007
110012,4,0.185394348239495,0.00543759170833698,0.0885043110508825
110012,7,0.291045050453495,0.000634113562000458,0.13894027471582
110012,8,0.210676700011542,0.00945874065954104,0.100573703384463
110012,9,0.475865792935921,0,0.22717075550798
110012,10,0.174241729270294,0.0098683267393645,0.0831802282638113
110012,11,0.140859865693185,0.00591605116085514,0.0672442579090411
110012,12,0.315807995836486,0,0.150761710706313
110013,1,0.0112533924022514,0.00546832903864198,0.00973341629436526
110013,2,0.11754821592356,0.0111859337819771,0.101671183172733
110013,3,0.0975388609586165,0.00303667856572582,0.0843644569257611
110013,4,0.129562259603481,0.00583366734389408,0.11206251090178
110013,5,0.0699766195902584,0.00784200277538204,0.0605249994844358
110013,6,0.0667212796511678,0.00549104814754481,0.0577093526399782
110013,7,0.108812985925238,0.00590431662117022,0.0941158054731436
110013,8,0.17983907256313,0.0100884591581867,0.155548522319306
110013,9,0.207545852990507,0.0070686097279603,0.179512996180741
110013,10,0.0449097546033914,0.00535445025262405,0.038843872283805
110013,11,0.0734248356536042,0.00464115722615493,0.0635074710110439
110013,12,0.0490274680089509,0.0077221936878704,0.0424054133129067
110014,1,0.200127309660031,0,0.0760233964266286
110014,2,0.180944312142997,0,0.0687362519216338
110014,3,0.300388866630018,0.000605613872181025,0.114110272749649
110014,4,0.169565355018132,0.00460860786057359,0.0644136686125653
110014,5,0.225764122043031,0.0115450148984144,0.0857621849718741
110014,6,0.0625062762122211,0,0.023744582504539
110014,7,0.0875305427813935,0,0.033250680102641
110014,8,0.283080644576535,0.00918177067933715,0.107535308898651
110014,9,0.223187123633283,0.0075194682694514,0.0847832472545387
110014,10,0.246439768606368,0.00559131285273108,0.093616349791916
110014,11,0.50027614944258,0.00881759378369146,0.190042488936014
110014,12,0.152633211944921,0,0.0579815678293498
110015,1,0.108853529142375,0.0118437504609121,0.0317766436703327
110015,3,0.150535926211614,0,0.0439446155260003
110015,4,0.0683347113246251,0.00233105842620763,0.0199483451679137
110015,5,0.0544165001130561,0.0105798948880762,0.015885325423097
110015,6,0.0453103640446777,0.00522310456004782,0.0132270520227008
110015,7,0.972597531055005,0,0.283921756349827
110015,8,0.470162014637115,0.013075820844886,0.137250219851929
