month,total_m2,month_label
1,3766713265.76277,Jan
2,3293773975.26925,Feb
3,4184208099.14432,Mar
4,5717654521.0999,Apr
5,6340357140.46487,May
6,6883181384.78191,Jun
7,8242368634.1484,Jul
8,9142541862.72817,Aug
9,6426873747.14746,Sep
10,5311573346.02442,Oct
11,5155928461.18656,Nov
12,4078870861.24938,Dec
